SUPPLIER_NAME,ORG_ID,FY_START_DATE,FY_END_DATE,AWU_MISSING_DATA_FLAGS,AWU_VOLUME_UNIT_FLAG,PWSID_INCOMPLETE_DATA_FLAG,AWU_POTABLE_SF_RES_GAL,AWU_POTABLE_MF_RES_GAL,AWU_POTABLE_TOTAL_RES_GAL,AWU_RECYCL_RES_GAL,AWU_NONPOTABLE_NON_RECYCL_RES_GAL,AWU_NONPOTABLE_RES_IRR_GAL,AWU_NONPOTABLE_TOTAL_RES_GAL,AWU_RES_LAM_EXCLUDED_IRR_GAL,AWU_TOTAL_RES_GAL,AWU_TOTAL_RES_RGPCD,AWU_POTABLE_CII_DIMS_GAL,AWU_NONPOTABLE_CII_DIMS_GAL,AWU_TOTAL_CII_DIMS_GAL,AWU_RWL_TOTAL_GAL,AWU_TOTAL_OBJ_RELEVANT_DEMANDS_GAL,AWU_POTABLE_CI_GAL,AWU_POTABLE_I_GAL,AWU_POTABLE_O_GAL,AWU_NONPOTABLE_NONRES_GAL,AWU_TOTAL_EXCL_DEMANDS_GAL,AWU_POTABLE_COMM_AG_GAL,AWU_NONPOTABLE_COMM_AG_GAL,AWU_SF_RES_90PCTILE_GAL,AWU_MF_RES_90PCTILE_GAL,AWU_COST_OF_SERVICE_HIGHEST_USERS,AWU_COST_OF_SERVICE_ANALYSIS_LINK,AWU_RES_LAM_EXCLUDED_IRR_YN,AWU_RES_LAM_ASSOC_DIM_YN,AWU_RES_LAM_ASSOC_DIM_IRR_GAL,AWU_RES_LAM_SUPPLIER_CII_YN,AWU_RES_LAM_SUPPLIER_CII_GAL,AWU_COMMENTS
Folsom  City Of,904,2023-07-01,2024-06-30,,,,2853493698.0664883,411382738.740989,3264876436.807477,0.0,0.0,0.0,0.0,,3264876436.807477,112.84620076902418,1075866051.96973,0.0,1075866051.96973,503295246.8796326,4844037735.65684,740883178.9836708,179137737.522533,192981176.0757649,43000000.0,1156002092.5819688,0.0,,712898080.0,392494150.0,,,No,No,,No,,"The City of Folsom has used its best efforts to comply with what it understands are the State Water Board’s January 1, 2025, reporting requirements. The City of Folsom reserves the right to submit an updated report to correct any unforeseen or unknown errors to ensure that its report complies with all January 1, 2025 reporting requirements. Such updates may include, but not limited to, data reported to the SAFER Clearinghouse, data available on the California Open Data Portal, various objective standards data inputs, actual water use and real water loss data, implementation progress descriptions, disclosable buildings, and commercial, industrial, and institutional account classifications, number of service connections, water users and performance measures."
Fortuna  City Of,920,2023-07-01,2024-06-30,,,,247900249.0,9245168.0,257145417.0,0.0,0.0,0.0,0.0,,257145417.0,58.06544068085567,6852758.0,0.0,6852758.0,49056176.5830864,313054351.5830864,58852518.0,1837407.0,3020000.0,0.0,63709925.0,0.0,,0.0,0.0,,,No,No,,No,,
Fountain Valley  City Of,924,2023-07-01,2024-06-30,,,,1557176758.8,209848044.0,1767024802.8,0.0,0.0,0.0,0.0,,1767024802.8,85.3113617158206,107921851.2,310500159.39,418422010.59,170495018.73000002,2355941832.12,656557179.9,60510530.7,8472126.0,0.0,725539836.6,3551775.9,,298145530.0,78899863.0,,,No,No,,No,,"Lines 35, 37, & 39   Landscapes misclassified or not captured   need assistance to analyze and compare data"
Fresno  City Of,934,2023-07-01,2024-06-30,"AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,17541811794.06,6259628251.3,23801440045.36,0.0,0.0,0.0,0.0,0.0,23801440045.36,119.54810158984834,2669507499.28,0.0,2669507499.28,2368562817.566689,28839510362.206688,5661405896.92,1617585666.56,632080457.8000001,1169004580.0,9080076601.28,0.0,,257968.0,1304056.0,,,,,0.0,,0.0,
Fullerton  City Of,967,2023-07-01,2024-06-30,,,,2509476200.0,1101593780.0,3611069980.0,0.0,0.0,0.0,0.0,,3611069980.0,69.73330145734175,354081580.0,0.0,354081580.0,254619931.9233972,4219771491.923397,1174442630.0,160510850.0,11856550.0,0.0,1346810030.0,1997678.0,,426818400.0,1130666100.0,,,No,No,,No,,
Galt  City Of,972,2023-07-01,2024-06-30,,,,872306569.23,72567679.94,944874249.17,0.0,0.0,0.0,0.0,,944874249.17,97.55413676019344,0.0,0.0,0.0,94487300.22952291,1039361549.399523,374059833.38,0.0,6712587.0,0.0,380772420.38,0.0,0.0,243130699.0,42719345.0,0.0,0,No,No,,No,,"(1) The City has not performed a residential LAM analysis so it is not known yet if there are landscapes not captured, if there are any landscapes with DIMs that DWR included in the LAM, or if there are any CII landscapes that were misclassified. (2) The City has not performed a Cost of Service Analysis but did hire a consultant to perform a water usage demand analysis to calculate the 90th percentile volume for SFR and MFR customers."
Garden Grove  City Of,977,2023-07-01,2024-06-30,,,,2964152502.1087275,1352819304.15,4316971806.258727,0.0,0.0,0.0,0.0,0.0,4316971806.258727,67.88493116496504,187321964.37,0.0,187321964.37,191761726.83041137,4696055497.459138,1536279934.1699998,151888926.63,379290.5640000001,0.0,1688548151.3639996,602824.3500000001,,0.0,0.0,,,No,No,,No,,
Georgetown Divide Public Utility District,990,2023-07-01,2024-06-30,,,,286350143.438672,4907924.28888,291258067.727552,0.0,250217724.39,0.0,250217724.39,0.0,541475792.117552,157.24987501272054,24246527.19028,0.0,24246527.19028,81312503.45902082,647034822.7668529,15663427.16566,25224717.388080005,539906.531,0.0,41428051.08474001,0.0,,0.0,0.0,,,Yes,No,,No,,I marked yes because our landscape data is wrong so we have residential landscapes that were not captured. B27 B28 and B36 I need more time to figure these out. If needed. Had not calculated for this years since the numbers would not be accurate due to the LAM data inaccuracies. The district has to evaluate our INI landscapes ourselves. In porgess.
Glendale  City Of,1004,2023-07-01,2024-06-30,,,,1893849270.51,2377793400.18,4271642670.69,0.0,0.0,0.0,0.0,,4271642670.69,61.99217414945195,154482700.59,0.0,154482700.59,41327855.54199081,4467453226.821991,942608738.76,120079352.01,8749099.35,343263706.56,1414700896.68,0.0,,716483394.0,1112679172.0,,,No,No,,No,,We are aware of missing parcels from LAM but have not yet determined which ones are new and old builds from the cut off date.  Data will be provided next year.
Glendora  City Of,1005,2023-07-01,2024-06-30,,,,2119009053.0,226792296.0,2345801349.0,0.0,0.0,0.0,0.0,,2345801349.0,122.28115626467721,19756346.13,0.0,19756346.13,532844263.389,2898401958.519,217342617.0,23461272.0,0.0,0.0,240803889.0,0.0,,1050476240.0,70743596.0,,,No,No,,No,,
Golden State Water Company - Artesia,1029,2023-07-01,2024-06-30,,,,701045160.0,348148638.0,1049193798.0,0.0,0.0,0.0,0.0,0.0,1049193798.0,57.0847692615308,18589091.0,0.0,18589091.0,38539831.1485472,1106322720.1485472,275150731.0,7128186.0,130162.0,0.0,282409079.0,0.0,,1775695.7700000016,1885120.84,,,No,No,0.0,No,0.0,
Golden State Water Company - Barstow,1030,2023-07-01,2024-06-30,,,,574618389.0,281134400.0,855752789.0,0.0,0.0,0.0,0.0,0.0,855752789.0,71.78372337163884,18035535.0,0.0,18035535.0,220849063.33944684,1094637387.3394468,539293878.0,15558735.0,1793828.0,0.0,556646441.0,0.0,,1711490.6099999975,1611206.65,,,No,No,0.0,No,0.0,
Golden State Water Company - Bay Point,1031,2023-07-01,2024-06-30,,,,308231834.88,145914274.03,454146108.91,0.0,0.0,0.0,0.0,0.0,454146108.91,52.4308252843082,30665642.312,0.0,30665642.312,33005650.45795327,517817401.6799532,40345439.048,24111211.632,34410.312,0.0,64491060.992,0.0,,743399.14,618975.58,,,No,No,0.0,No,0.0,
Golden State Water Company - Bell-Bell Gardens,1032,2023-07-01,2024-06-30,,,,348973740.0,623489372.0,972463112.0,0.0,0.0,0.0,0.0,0.0,972463112.0,48.710737506035855,13083431.0,0.0,13083431.0,98222867.66635102,1083769410.666351,244417763.0,26527420.0,181028.0,0.0,271126211.0,0.0,,860289.6400000011,1928979.09,,,No,No,0.0,No,0.0,
Golden State Water Company - Claremont,1034,2023-07-01,2024-06-30,,,,1311635874.0,189447909.0,1501083783.0,0.0,0.0,0.0,0.0,0.0,1501083783.0,103.94172546097765,177475337.0,0.0,177475337.0,80889395.51114531,1759448515.5111454,643937374.0,21607483.0,288001.0,0.0,665832858.0,0.0,,4250790.370000001,947766.87,,,No,No,0.0,No,0.0,
Golden State Water Company - Cordova,1036,2023-07-01,2024-06-30,,,,1468708839.4099998,369563121.19000006,1838271960.6,0.0,0.0,0.0,0.0,0.0,1838271960.6,106.91549984907255,441435210.424,0.0,441435210.424,551242764.0946109,2830949935.1186104,937125135.32,1223064.536,994159.932,0.0,939342359.788,0.0,,4225648.319999995,2849494.41,,,No,No,0.0,No,0.0,
Golden State Water Company - Culver City,1038,2023-07-01,2024-06-30,,,,422056175.0,319090558.0,741146733.0,0.0,0.0,0.0,0.0,0.0,741146733.0,53.40010504985004,39842745.0,0.0,39842745.0,55475343.20066878,836464821.2006688,515939692.0,39384939.0,570016.0,0.0,555894647.0,0.0,,1047773.8700000016,1801398.7799999996,,,No,No,0.0,No,0.0,
Golden State Water Company - Florence Graham,1041,2023-07-01,2024-06-30,,,,540588754.0,508256452.0,1048845206.0,0.0,0.0,0.0,0.0,0.0,1048845206.0,45.50930457681165,8202390.0,0.0,8202390.0,56508646.69495434,1113556242.6949544,251462917.0,32431046.0,124175.0,0.0,284018138.0,0.0,,1352455.4099999997,1535421.5599999998,,,No,No,0.0,No,0.0,
Golden State Water Company - Norwalk,1049,2023-07-01,2024-06-30,,,,698677574.0,187387027.0,886064601.0,0.0,0.0,0.0,0.0,0.0,886064601.0,56.28113623710543,18612281.0,0.0,18612281.0,37303232.62920581,941980114.6292058,296251781.0,2846338.0,388986.0,0.0,299487105.0,0.0,,1650157.82,899375.39,,,No,No,0.0,No,0.0,
Golden State Water Company - Orcutt,1052,2023-07-01,2024-06-30,,,,1231437966.0,55527601.0,1286965567.0,0.0,0.0,0.0,0.0,0.0,1286965567.0,103.39373234044844,52498290.0,0.0,52498290.0,233912152.3703581,1573376009.370358,210582233.0,201975.0,34410.0,0.0,210818618.0,0.0,,3263713.4700000044,332658.71,,,No,No,0.0,No,0.0,
Golden State Water Company - Placentia,1053,2023-07-01,2024-06-30,,,,1033105442.048,292696290.906,1325801732.954,0.0,0.0,0.0,0.0,0.0,1325801732.954,72.36300731019335,71582590.90799999,0.0,71582590.90799999,100179287.34216475,1497563611.2041647,412137752.736,0.0,374775.262,0.0,412512527.998,0.0,,2140894.910000005,1531441.86,,,No,No,0.0,No,0.0,
Golden State Water Company - San Dimas,1054,2023-07-01,2024-06-30,,,,1567276660.0,263002365.0,1830279025.0,0.0,0.0,0.0,0.0,0.0,1830279025.0,88.73271309087947,166900873.0,0.0,166900873.0,87411471.25652972,2084591369.2565296,701021973.0,3740.0,199730.0,0.0,701225443.0,0.0,,4282432.780000004,1092178.31,,,No,No,0.0,No,0.0,
Golden State Water Company - Simi Valley,1057,2023-07-01,2024-06-30,,,,1113837459.0,99666710.0,1213504169.0,0.0,0.0,0.0,0.0,0.0,1213504169.0,73.67197651489947,95793294.0,0.0,95793294.0,12749749.627827847,1322047212.627828,239476879.0,3285445.0,516905.0,0.0,243279229.0,0.0,,2656265.249999997,486690.06,,,No,No,0.0,No,0.0,
Golden State Water Company - South Arcadia,1058,2023-07-01,2024-06-30,,,,577683904.0,103317949.0,681001853.0,0.0,0.0,0.0,0.0,0.0,681001853.0,69.6100623575668,11806503.0,0.0,11806503.0,1243502.6653055607,694051858.6653056,94419872.0,1757923.0,94253.0,0.0,96272048.0,0.0,,1461790.4899999995,480892.64,,,No,No,0.0,No,0.0,
Golden State Water Company - South San Gabriel,1059,2023-07-01,2024-06-30,,,,293061342.0,210558686.0,503620028.0,0.0,0.0,0.0,0.0,0.0,503620028.0,52.91788366304123,4229487.0,0.0,4229487.0,18681677.70895093,526531192.7089509,109516307.0,4207792.0,117446.0,0.0,113841545.0,0.0,,777218.41,670733.34,,,No,No,0.0,No,0.0,
Golden State Water Company - Southwest,1060,2023-07-01,2024-06-30,,,,2700393664.0,2707885403.0,5408279067.0,0.0,0.0,0.0,0.0,0.0,5408279067.0,53.32691366494756,109587373.0,0.0,109587373.0,280371017.84222674,5798237457.842227,1852370499.0,108096505.0,3197923.0,0.0,1963664927.0,0.0,,6930888.5900000725,12972836.709999992,,,No,No,0.0,No,0.0,
Golden State Water Company - West Orange,1062,2023-07-01,2024-06-30,,,,1845245301.232,773042173.012,2618287474.244,0.0,0.0,0.0,0.0,0.0,2618287474.244,62.82252783110321,219948234.516,0.0,219948234.516,217579613.33511543,3055815322.095115,968713126.58,9193560.1,18501570.84,0.0,996408257.52,0.0,,4634286.430000004,4101366.86,,,No,No,0.0,No,0.0,
Goleta Water District,1068,2023-07-01,2024-06-30,,,,981928527.2280002,593144946.045,1575073473.2730002,13407465.246,0.0,0.0,13407465.246,0.0,1588480938.5190003,51.526160537104644,85376872.212,0.0,85376872.212,226140594.0,1899998404.731,578113113.564,0.0,31847047.485,193452850.935,803413011.984,589425682.731,,274658880.0,369212522.0,,,No,No,0.0,No,0.0,
Great Oaks Water Company Incorporated,1083,2023-07-01,2024-06-30,,,,1414140690.412,613938245.2320001,2028078935.644,0.0,0.0,0.0,0.0,,2028078935.644,50.47217358476855,167711762.29599997,0.0,167711762.29599997,176531116.3174854,2372321814.2574854,462091917.8039999,66241500.70400001,0.0,0.0,528333418.5079999,9477070.788,,3215000.0,2118000.0,,,No,No,,No,,"For number 24, Great Oaks does not provide non potable water to commercial agriculture customers. For cost of service analysis, there is no additional cost incurred by Great Oaks to provide water to ""high water users"", except that Great Oaks has to pump more water from zone W 2, and pay more than double the water otherwise pumped from zone W 7. Manufactured homes with only a single meter is excluded from multi family residential customers calculation that are at or above the 90th percentile."
Greenfield  City Of,1093,2023-07-01,2024-06-30,,,,363704415.97,72032893.9,435737309.87,0.0,0.0,0.0,0.0,,435737309.87,62.94094210781378,74535313.3,0.0,74535313.3,73052535.69,583325158.86,59955503.29,22297884.45,5842399.15,0.0,88095786.89,0.0,0.0,76254578.0,43664820.0,,,No,No,,Yes,24402116.0,
Greenfield County Water District,1094,2023-07-01,2024-06-30,,,,569125353.0,48442724.0,617568077.0,0.0,0.0,0.0,0.0,,617568077.0,145.98510217830676,8119868.0,0.0,8119868.0,90446999.45989956,716134944.4598995,94761876.0,0.0,7042820.0,0.0,101804696.0,0.0,,0.0,0.0,,,No,No,,No,,
Groveland Community Services District,1109,2023-07-01,2024-06-30,,,,87537769.0,0.0,87537769.0,0.0,0.0,0.0,0.0,,87537769.0,70.53808944399678,0.0,0.0,0.0,14381000.0,101918769.0,6322715.0,0.0,0.0,0.0,6322715.0,0.0,,32110555.0,0.0,,,No,No,,No,,
Hanford  City Of,1125,2023-07-01,2024-06-30,,,,2104971948.7760005,332065519.16400003,2437037467.9400005,0.0,0.0,0.0,0.0,,2437037467.9400005,107.47042317603515,268911229.06400007,0.0,268911229.06400007,256000000.0,2961948697.0040007,371098124.47200006,97346998.96800002,320079481.96800005,0.0,788524605.4080001,0.0,,594000000.0,250300000.0,,,No,No,,No,,
Hawthorne  City Of,1142,2023-07-01,2024-06-30,,,,466745549.296,386515476.192,853261025.488,3165008012.0,0.0,0.0,3165008012.0,0.0,4018269037.488,246.12569623936173,0.0,0.0,0.0,41888164.53787355,4060157202.0258737,220659630.90800005,8335543.436000001,240872.744,3591685238.944,3820921286.032,0.0,,142911960.390625,136685192.0625,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
Hayward  City Of,1143,2023-07-01,2024-06-30,,,,1694724900.0,1077220232.0,2771945132.0,0.0,0.0,0.0,0.0,,2771945132.0,46.60438052860031,466391708.0,60682000.0,527073708.0,202859000.0,3501877840.0,773609276.0,610536300.0,27787452.0,0.0,1411933028.0,0.0,,358915832.0,795895188.0,,,Yes,No,,No,,Regarding the DWR LAM analysis: The City has some residential landscapes that were not captured in DWR's initial LAM analysis and has submitted consultant reports to DWR with recommendations for updating the LAM analysis. The City has not yet calculated the water use by additional residential landscapes or CII landscapes with DIMs.
Healdsburg  City Of,1144,2023-07-01,2024-06-30,,,,238848515.288,56145042.860000014,294993558.148,2174388.0,0.0,0.0,2174388.0,,297167946.148,74.59765040955314,51489167.212000005,76302.0,51565469.212000005,19345000.0,368078415.36,101353565.48,12933819.079999998,5424873.104,69413611.0,189125868.664,0.0,,67876742.376,28461882.496,,,No,Yes,6356197.8440000005,No,,"Cell B12: City of Healdsburg is actively constructing a recycled water pipeline to service facilities such as parks, schools, golf course, and cemetery. Once constructed, these facilities will have a DIM for recycled water irrigation installed and have their area measured as a Special Landscape Area. There are currently two accounts that use well water for landscape irrigation. Cell B24: City of Healdsburg provides recycled water for agricultural irrigation (predominately vineyards) in the surrounding area outside of its service territory. In Fiscal Year 23 24, 88,722,154 gallons of recycled water was supplied to vineyards located outside the service territory, offsetting private groundwater well use. As of January 2024 and in future reporting years, this recycled water will not be included in the nonpotable deliveries numbers above in cell B21. (For July to December 2023, this usage was included in the reported numbers that are being used to auto populate and made up 68.7 million gallons of the usage shown in cell B21.) Cell B38: Various multi family and HOA accounts are classified in the City's billing system as Residential, and have a DIM installed. The number provided reflects the DIM consumption for accounts classified as Residential in the City's billing system. As City staff continue to work on the commercial landscape areas, the initial LAM analysis fields may also be analyzed and updated as appliable in future reports. The selection of “No” in cells B35 and B39 is a placeholder until this analysis can be completed, and does not represent the final review of the LAM data."
Helix Water District,1154,2023-07-01,2024-06-30,,,,3864576567.4499993,3036348046.7100005,6900924614.16,0.0,0.0,0.0,0.0,,6900924614.16,68.15218471231336,335036739.69,0.0,335036739.69,178872973.791,7414834327.641,1174979603.88,0.0,5259235.14,0.0,1180238839.0200002,0.0,,1084725815.63219,1678034221.2484,,,No,No,,No,,
Hemet  City Of,1157,2023-07-01,2024-06-30,,,,468826537.0,350812160.32,819638697.3199999,0.0,0.0,0.0,0.0,0.0,819638697.3199999,66.38244862568254,90532770.48,0.0,90532770.48,27665075.751,937836543.551,262132363.56,0.0,7016627.0,0.0,269148990.56,0.0,,4662358.0,24774986.0,,,No,No,,No,,
Hesperia Water District,1166,2023-07-01,2024-06-30,,,,2764619868.0,302032483.0,3066652351.0,0.0,0.0,0.0,0.0,,3066652351.0,83.39739600386821,0.0,90974611.0,90974611.0,85547323.34727934,3243174285.3472795,514142288.0,0.0,0.0,26087179.0,540229467.0,0.0,,874150377.588,204051380.404,,,No,No,,No,,"(Row 35, 37, and 39) ""No"" entries aim to report that we are currently investigating the nature and scope of identifying these misclassifications provided by the State.  It is expected that future UWUO reports will include volumes of deliveries associated with these misclassifications."
Hi Desert Water District,1167,2023-07-01,2024-06-30,,,,581734295.727,73095873.873,654830169.6,0.0,0.0,0.0,0.0,0.0,654830169.6,68.42055067228871,51881605.1988,0.0,51881605.1988,100029904.53475489,806741679.3335549,94673401.242,0.0,0.0,0.0,94673401.242,0.0,,156018213.432,61073957.488,,,No,No,,No,,"(Row 37 and 39) ""No"" entries aim to report that we are currently investigating the nature and scope of identifying these misclassifications provided by the State.  It is expected that future UWUO reports will include volumes of deliveries associated with these misclassifications."
Hillsborough  Town Of,1181,2023-07-01,2024-06-30,,,,679316493.9280001,0.0,679316493.9280001,0.0,0.0,0.0,0.0,0.0,679316493.9280001,163.44437334282907,18665393.504,0.0,18665393.504,35923000.0,733904887.432,12902400.896,0.0,0.0,0.0,12902400.896,0.0,,185406012.0,0.0,,,No,No,0.0,No,0.0,
Humboldt Community Services District,1210,2023-07-01,2024-06-30,,,,343790486.2120001,47763120.2,391553606.41200006,0.0,0.0,0.0,0.0,,391553606.41200006,54.382520866278995,0.0,0.0,0.0,62671399.062672,454225005.4746721,58806611.876,0.0,748.052,0.0,58807359.928,2976498.908,0.0,96308500.0,40048000.0,,,No,No,,No,,
Huntington Beach  City Of,1215,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL, AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,3533972076.2967887,1673757537.94744,5207729614.244228,0.0,0.0,0.0,0.0,0.0,5207729614.244228,70.98384262583286,579502165.1263201,0.0,579502165.1263201,386328049.0332281,6173559828.403776,944249260.79364,126417436.72704,0.0,0.0,1070666697.52068,0.0,,,,,,,,,,,
Huntington Park  City Of,1217,2023-07-01,2024-06-30,"AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,247890967.864,628376396.8840001,876267364.7480001,0.0,0.0,0.0,0.0,0.0,876267364.7480001,157.16743084510014,0.0,0.0,0.0,39786407.1,916053771.8480002,332725301.028,0.0,0.0,0.0,332725301.028,0.0,,0.0,0.0,,,,,0.0,,0.0,"Cell 27 and Cell 28, bililing records water delivery volumes need to be analyzed for accouonts in billing system in order to determine applicable customer accounts and estimates.   Population size estimates correction also would need to be applied, population estimate believed to be closer to 46,800 which would adjust the water budget values. Current population size on record is based on meter service connections as reported int the Electronic Acnnual Report each year."
Imperial  City Of,1225,2023-07-01,2024-06-30,,,,845778261.332,34456023.172000006,880234284.5040001,0.0,0.0,0.0,0.0,,880234284.5040001,113.57795787043818,40195078.116,0.0,40195078.116,11900235.169765174,932329597.7897654,39279462.468,0.0,24759025.096,0.0,64038487.564,0.0,,0.0,0.0,,,No,No,,No,,"The City has not yet reviewed its residential landscape measurement (LAM). The City has not yet received its CII LAM. The City reported 6.9 MG of Unbilled Unmetered Water Use in their 2023 CY Water Loss Audit. Last year’s UWUO report included a separate tab to calculate these values, which was then referenced in the Water Use Tab. This year’s report does not include a spot for unmetered water use because the regulation requires that all water use data come from what is reported in the SAFER Clearinghouse. The City may modify reported Clearinghouse data to incorporate unmetered water use in the future."
Indian Wells Valley Water District,1234,2023-07-01,2024-06-30,,,,1160933000.0,167952000.0,1328885000.0,0.0,0.0,0.0,0.0,,1328885000.0,117.35368817424602,0.0,0.0,0.0,117599625.9,1446484625.9,180625000.0,0.0,116967000.0,0.0,297592000.0,0.0,,282804588.0,96519302.0,,,No,No,,No,,
Indio  City Of,1236,2023-07-01,2024-06-30,,,,3729894243.436,573929432.064,4303823675.5,0.0,0.0,0.0,0.0,,4303823675.5,141.23682702603898,729213806.484,0.0,729213806.484,217340010.192,5250377492.176001,786706090.996,50714933.39200001,48160335.812,0.0,885581360.2,0.0,0.0,1015185039.0,385203366.23,,,No,No,,No,,
Inglewood  City Of,1238,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL, AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,1034458315.236,655410184.3800001,1689868499.6160002,0.0,0.0,0.0,0.0,,1689868499.6160002,57.28220220821431,0.0,0.0,0.0,120324349.75949796,1810192849.375498,621771933.948,26899325.901,0.0,175092776.55,823764036.3989999,0.0,,,,,,,,,,,
Irvine Ranch Water District,1245,2023-07-01,2024-06-30,,,,7812440650.5,2474675419.5,10287116070.0,0.0,0.0,0.0,0.0,,10287116070.0,64.9919281908895,1131126576.3,6677208351.6,7808334927.900001,694302642.7478561,18789753640.647858,3018129717.3,1423675604.1,109844372.1,948193824.9,5499843518.400001,11535125.4,,671182575.7534153,1731722618.008561,,,No,No,,No,,IRWD is using alternative residential LAM data.
Joshua Basin Water District,1270,2023-07-01,2024-06-30,,,,209194985.956,25827243.352,235022229.308,0.0,0.0,0.0,0.0,,235022229.308,86.84873464419407,676239.0079999999,0.0,676239.0079999999,78595261.2,314293729.516,113125659.804,8976.624,0.0,0.0,113134636.428,0.0,0.0,69929024.0,16582412.0,,,No,No,,No,,
Jurupa Community Service District,1273,2023-07-01,2024-06-30,,,,4606760873.13,431974153.68,5038735026.81,0.0,0.0,0.0,0.0,0.0,5038735026.81,102.9828905706838,719752722.8399999,0.0,719752722.8399999,337551462.5245286,6096039212.174529,712466694.48,200199595.89,52061214.27,0.0,964727504.64,163609787.10000002,,1181134.0,346403288.0,,,No,No,0.0,No,0.0,"JCSD is in the process of correcting the reported residential water use, as it appears the December 2023 figures were reported as annual rather than monthly. Additionally, JCSD verifying the report calculating the volume of water used by the top 10 percent of residential customers."
Kerman  City Of,1286,2023-07-01,2024-06-30,,,,591001247.0,98731220.0,689732467.0,0.0,0.0,0.0,0.0,0.0,689732467.0,111.19023193767707,67203000.0,0.0,67203000.0,47419000.0,804354467.0,62935920.0,8289000.0,13976350.0,0.0,85201270.0,0.0,,65560405.0,9034780.0,,,No,No,,No,,
La Habra  City Of,1324,2023-07-01,2024-06-30,,,,1143622645.652,654662944.164,1798285589.816,0.0,0.0,0.0,0.0,,1798285589.816,78.0571284754322,149323896.084,0.0,149323896.084,102564911.51576877,2050174397.4157689,380848982.292,0.0,0.0,0.0,380848982.292,0.0,0.0,319539616.0,355727856.0,,,No,No,,No,,
La Palma  City Of,1327,2023-07-01,2024-06-30,,,,436444829.4,60934137.0,497378966.4,0.0,0.0,0.0,0.0,,497378966.4,85.44532855066637,18837446.31,0.0,18837446.31,0.0,516216412.71,1629255.0,0.0,0.0,0.0,1629255.0,0.0,0.0,0.0,0.0,0.0,,No,No,,No,,
La Verne  City Of,1333,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL",,,938932000.0,319710000.0,1258642000.0,0.0,0.0,0.0,0.0,,1258642000.0,107.07117451951011,0.0,0.0,0.0,119029785.939,1377671785.939,485768082.0,30952000.0,4875000.0,0.0,521595082.0,21178326.0,,,,,,No,No,,No,,
Laguna Beach County Water District,1335,2023-07-01,2024-06-30,,,,567512642.008,128051541.36,695564183.368,0.0,0.0,0.0,0.0,,695564183.368,103.54571271998643,30078422.868000004,0.0,30078422.868000004,60707195.77374986,786349802.0097499,164067252.952,0.0,0.0,0.0,164067252.952,0.0,0.0,169512508.0,53886668.0,0.0,,No,No,,No,,
Lake Arrowhead Community Services District,1343,2023-07-01,2024-06-30,,,,282962491.38,5526432.96,288488924.34,0.0,0.0,0.0,0.0,3130096.0,285358828.34,111.08340567642583,863505.15,0.0,863505.15,59234172.333,345456505.82299995,36107549.31,0.0,0.0,60556149.85999999,96663699.17,0.0,0.0,108296330.0,3346933.0,0.0,0,Yes,Yes,4570826.0,Yes,438979.0,"Cost of service has not yet been calculated.  Irrigable area for the missing parcels is unknown. To calculate the volume of water delivered to residential landscapes that the Department excluded from its LAM analysis, we used the average Irrigated area per parcel from the LAM data and calculated the gallons using the LEF, Unit Conversion and Net ETo."
Lake Hemet Municipal Water District,1352,2023-07-01,2024-06-30,"AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,1544395244.912,268541691.376,1812936936.288,0.0,0.0,0.0,0.0,0.0,1812936936.288,93.87013607956612,41887919.792,0.0,41887919.792,260680800.0,2115505656.08,188559971.536,606670.172,0.0,0.0,189166641.708,13393123.007999998,,456891864.0,104050540.0,,,,,0.0,,0.0,
Lakeside Water District,1368,2023-07-01,2024-06-30,,,,639023651.2199999,272751067.45000005,911774718.67,0.0,0.0,0.0,0.0,,911774718.67,70.3665613482539,12365480.489999998,0.0,12365480.489999998,29990230.12431317,954130429.2843132,104723803.4,0.0,15773740.46,0.0,120497543.86,1101376.38,,0.0,0.0,,,No,No,,No,,LWD has not yet reviewed its residential landscape measurement (LAM). LWD has not yet received its CII LAM.
